273,0.316,1.232,84
100-0,-0.2860,0.6921,0.4002,-0.5282,0.253,0.361,1.224,83
100-0,-0.2860,0.6928,0.3995,-0.5277,0.239,0.369,1.210,83
100-0,-0.2860,0.6935,0.3990,-0.5272,0.214,0.431,1.204,84
100-0,-0.2860,0.6939,0.3986,-0.5269,0.181,0.436,1.201,83
100-0,-0.2860,0.6946,0.3981,-0.5264,0.179,0.475,1.189,84
100-0,-0.2861,0.6950,0.3978,-0.5261,0.085,0.502,1.176,83
100-0,-0.2861,0.6956,0.3973,-0.5256,0.118,0.557,1.166,84
100-0,-0.2862,0.6960,0.3970,-0.5253,0.030,0.544,1.166,84
100-0,-0.2863,0.6963,0.3968,-0.5249,-0.030,0.445,1.162,83
100-0,-0.2864,0.6969,0.3964,-0.5244,-0.008,0.420,1.129,83
100-0,-0.2865,0.6975,0.3959,-0.5240,-0.045,0.452,1.090,84
100-0,-0.2866,0.6978,0.3956,-0.5237,-0.131,0.590,1.076,83
100-0,-0.2866,0.6982,0.3953,-0.5233,-0.186,0.677,1.095,83
100-0,-0.2868,0.6988,0.3948,-0.5229,-0.276,0.757,1.145,83
100-0,-0.2870,0.6993,0.3945,-0.5223,-0.360,0.723,1.143,84
100-0,-0.2873,0.6995,0.3943,-0.5220,-0.323,0.728,1.115,84
100-0,-0.2877,0.6998,0.3942,-0.5214,-0.320,0.722,1.060,83
100-0,-0.2881,0.7000,0.3942,-0.5209,-0.279,0.757,1.005,84
100-0,-0.2894,0.7001,0.3946,-0.5198,-0.242,0.730,0.940,84
100-0,-0.2897,0.7001,0.3947,-0.5195,-0.218,0.727,0.932,84
100-0,-0.2903,0.7001,0.3950,-0.5190,-0.255,0.663,0.930,83
100-0,-0.2912,0.7001,0.3954,-0.5182,-0.276,0.657,0.932,84
100-0,-0.2919,0.7000,0.3957,-0.5177,-0.290,0.647,0.926,84
100-0,-0.2929,0.6999,0.3962,-0.5169,-0.236,0.657,0.890,84
100-0,-0.2937,0.6998,0.3966,-0.5164,-0.222,0.690,0.856,83
100-0,-0.2948,0.6996,0.3971,-0.5156,-0.175,0.660,0.832,83
100-0,-0.2955,0.6995,0.3975,-0.5150,-0.138,0.654,0.807,84
100-0,-0.2967,0.6992,0.3980,-0.5142,-0.136,0.576,0.786,84
100-0,-0.2979,0.6990,0.3986,-0.5134,-0.105,0.569,0.747,84
100-0,-0.2987,0.6989,0.3990,-0.5129,-0.112,0.531,0.738,83
100-0,-0.2999,0.6986,0.3996,-0.5120,-0.086,0.562,0.711,84
100-0,-0.3007,0.6984,0.4000,-0.5115,-0.098,0.502,0.697,84
100-0,-0.3018,0.6982,0.4005,-0.5107,-0.090,0.464,0.680,83
100-0,-0.3026,0.6981,0.4009,-0.5101,-0.104,0.408,0.672,84
100-0,-0.3037,0.6979,0.4013,-0.5093,-0.112,0.354,0.649,84
100-0,-0.3045,0.6978,0.4016,-0.5088,-0.113,0.303,0.635,84
100-0,-0.3055,0.6977,0.4020,-0.5081,-0.123,0.251,0.607,84
100-0,-0.3065,0.6976,0.4023,-0.5073,-0.129,0.197,0.585,84
100-0,-0.3071,0.6976,0.4024,-0.5068,-0.131,0.179,0.576,84
100-0,-0.3080,0.6977,0.4026,-0.5061,-0.127,0.163,0.554,84
100-0,-0.3085,0.6977,0.4026,-0.5057,-0.122,0.137,0.540,84
100-0,-0.3093,0.6978,0.4027,-0.5050,-0.118,0.110,0.531,84
100-0,-0.3098,0.6979,0.4028,-0.5045,-0.106,0.077,0.526,84
100-0,-0.3106,0.6980,0.4029,-0.5038,-0.099,0.056,0.533,84
100-0,-0.3111,0.6981,0.4030,-0.5034,-0.108,0.052,0.540,83
100-0,-0.3118,0.6982,0.4031,-0.5027,-0.131,0.074,0.542,84
100-0,-0.3125,0.6983,0.4032,-0.5020,-0.175,0.108,0.559,84
100-0,-0.3130,0.6984,0.4033,-0.5015,-0.212,0.141,0.574,84
100-0,-0.3137,0.6985,0.4034,-0.5008,-0.260,0.193,0.596,83
100-0,-0.3141,0.6986,0.4035,-0.5003,-0.293,0.235,0.607,84
100-0,-0.3148,0.6988,0.4035,-0.4996,-0.335,0.284,0.622,84
100-0,-0.3155,0.6990,0.4036,-0.4989,-0.382,0.332,0.636,84
100-0,-0.3159,0.6991,0.4036,-0.4984,-0.411,0.364,0.643,83
100-0,-0.3163,0.6992,0.4036,-0.4979,-0.442,0.393,0.653,83
100-0,-0.3170,0.6994,0.4036,-0.4972,-0.482,0.439,0.667,84
100-0,-0.3177,0.6997,0.4036,-0.4964,-0.517,0.479,0.683,84
100-0,-0.3181,0.6998,0.4036,-0.4960,-0.532,0.509,0.693,83
100-0,-0.3188,0.7000,0.4036,-0.4952,-0.541,0.550,0.719,84
100-0,-0.3193,0.7001,0.4037,-0.4947,-0.543,0.569,0.732,84
100-0,-0.3201,0.7003,0.4037,-0.4939,-0.529,0.574,0.757,84
100-0,-0.3207,0.7004,0.4038,-0.4934,-0.533,0.570,0.768,84
100-0,-0.3215,0.7005,0.4039,-0.4926,-0.531,0.535,0.778,84
100-0,-0.3221,0.7006,0.4039,-0.4920,-0.517,0.497,0.795,84
100-0,-0.3229,0.7007,0.4040,-0.4912,-0.424,0.285,0.835,84
100-0,-0.3236,0.7010,0.4040,-0.4904,-0.293,0.074,0.896,84
100-0,-0.3241,0.7012,0.4038,-0.4900,-0.158,0.233,0.883,84
100-0,-0.3246,0.7016,0.4034,-0.4893,-0.015,0.080,0.939,84
100-0,-0.3248,0.7020,0.4030,-0.4890,-0.108,0.525,0.933,84
100-0,-0.3250,0.7027,0.4022,-0.4885,0.036,-0.138,1.089,84
100-0,-0.3249,0.7033,0.4016,-0.4882,-0.136,0.088,1.163,84
100-0,-0.3250,0.7042,0.4005,-0.4878,0.114,0.124,1.152,84
100-0,-0.3249,0.7048,0.3998,-0.4876,0.017,0.024,1.165,84
100-0,-0.3249,0.7056,0.3987,-0.4872,0.164,0.412,1.070,84
100-0,-0.3249,0.7061,0.3982,-0.4869,0.141,0.139,1.030,83
100-0,-0.3250,0.7067,0.3976,-0.4865,0.001,0.550,0.858,84
100-0,-0.3253,0.7072,0.3972,-0.4859,-0.012,-0.061,1.011,84
100-0,-0.3255,0.7074,0.3971,-0.4856,0.038,0.619,0.816,83
100-0,-0.3260,0.7076,0.3971,-0.4850,-0.083,0.160,0.702,84
100-0,-0.3263,0.7076,0.3972,-0.4846,-0.112,0.602,0.592,84
100-0,-0.3269,0.7076,0.3975,-0.4839,-0.329,-0.026,0.748,83
100-0,-0.3273,0.7077,0.3977,-0.4835,-0.139,0.235,0.746,84
100-0,-0.3278,0.7077,0.3980,-0.4828,-0.361,0.105,0.686,84
100-0,-0.3281,0.7078,0.3981,-0.4824,-0.319,0.160,0.650,84
100-0,-0.3285,0.7079,0.3982,-0.4818,-0.431,0.208,0.634,83
100-0,-0.3287,0.7082,0.3982,-0.4813,-0.427,0.224,0.607,83
100-0,-0.3289,0.7084,0.3980,-0.4810,-0.364,0.373,0.554,84
100-0,-0.3290,0.7088,0.3978,-0.4806,-0.433,0.141,0.562,84
100-0,-0.3290,0.7091,0.3976,-0.4803,-0.565,0.393,0.466,83
100-0,-0.3291,0.7095,0.3974,-0.4798,-0.502,-0.374,0.662,83
100-0,-0.3291,0.7098,0.3971,-0.4795,-0.339,0.551,0.548,84
100-0,-0.3291,0.7103,0.3968,-0.4791,-0.278,-0.016,0.618,84
100-0,-0.3291,0.7106,0.3966,-0.4788,-0.370,0.521,0.462,84
100-0,-0.3290,0.7111,0.3962,-0.4784,-0.818,0.037,0.474,84
100-0,-0.3290,0.7116,0.3959,-0.4779,-0.742,0.434,0.380,84
100-0,-0.3290,0.7119,0.3958,-0.4776,-0.783,0.147,0.381,84
100-0,-0.3290,0.7123,0.3957,-0.4771,-0.544,0.416,0.311,83
100-0,-0.3292,0.7127,0.3957,-0.4763,-0.478,0.170,0.403,83
100-0,-0.3292,0.7128,0.3957,-0.4761,-0.449,0.325,0.399,84
100-0,-0.3294,0.7131,0.3958,-0.4755,-0.578,0.197,0.382,84
100-0,-0.3295,0.7133,0.3959,-0.4751,-0.599,0.299,0.381,83
100-0,-0.3296,0.7136,0.3960,-0.4746,-0.582,0.352,0.364,83
100-0,-0.3296,0.7138,0.3960,-0.4742,-0.577,0.326,0.379,84
100-0,-0.3297,0.7141,0.3961,-0.4736,-0.487,0.423,0.386,83
100-0,-0.3298,0.7143,0.3962,-0.4732,-0.501,0.321,0.410,83
100-0,-0.3300,0.7145,0.3964,-0.4726,-0.438,0.423,0.422,84
100-0,-0.3301,0.7146,0.3965,-0.4721,-0.441,0.353,0.445,84
100-0,-0.3303,0.7148,0.3969,-0.4715,-0.421,0.416,0.451,84
100-0,-0.3304,0.7149,0.3971,-0.4711,-0.411,0.386,0.472,83
100-0,-0.3307,0.7149,0.3976,-0.4704,-0.399,0.404,0.497,84
100-0,-0.3309,0.7150,0.3980,-0.4698,-0.363,0.398,0.539,84
100-0,-0.3311,0.7150,0.3984,-0.4693,-0.351,0.408,0.559,84
100-0,-0.3314,0.7150,0.3989,-0.4687,-0.313,0.416,0.586,83
100-0,-0.3315,0.7150,0.3993,-0.4683,-0.294,0.381,0.583,83
100-0,-0.3318,0.7150,0.3998,-0.4677,-0.268,0.383,0.593,84
100-0,-0.3319,0.7150,0.4001,-0.4673,-0.260,0.336,0.620,83
100-0,-0.3321,0.7150,0.4006,-0.4667,-0.236,0.340,0.641,83
100-0,-0.3322,0.7150,0.4009,-0.4664,-0.215,0.316,0.671,84
100-0,-0.3323,0.7150,0.4014,-0.4659,-0.180,0.326,0.701,84
100-0,-0.3324,0.7150,0.4018,-0.4654,-0.151,0.300,0.730,84
100-0,-0.3324,0.7150,0.4022,-0.4651,-0.139,0.295,0.748,83
100-0,-0.3325,0.7150,0.4026,-0.4647,-0.113,0.280,0.760,83
100-0,-0.3325,0.7150,0.4029,-0.4645,-0.087,0.265,0.777,84
100-0,-0.3325,0.7150,0.4034,-0.4641,-0.051,0.261,0.781,84
100-0,-0.3324,0.7149,0.4037,-0.4639,-0.027,0.240,0.795,83
100-0,-0.3323,0.7149,0.4041,-0.4636,-0.002,0.232,0.796,83
100-0,-0.3323,0.7149,0.4044,-0.4634,0.010,0.220,0.802,84
100-0,-0.3321,0.7149,0.4048,-0.4633,0.025,0.214,0.800,84
100-0,-0.3319,0.7149,0.4050,-0.4632,0.029,0.201,0.802,83
100-0,-0.3316,0.7150,0.4052,-0.4631,0.035,0.189,0.800,83
100-0,-0.3312,0.7151,0.4054,-0.4630,0.037,0.200,0.797,84
100-0,-0.3309,0.7152,0.4055,-0.4631,0.039,0.212,0.803,84
100-0,-0.3304,0.7153,0.4055,-0.4632,0.041,0.244,0.808,83
100-0,-0.3299,0.7155,0.4055,-0.4633,0.047,0.291,0.818,83
100-0,-0.3292,0.7158,0.4053,-0.4635,0.082,0.544,0.814,84
100-0,-0.3287,0.7160,0.4051,-0.4637,0.255,0.788,0.852,84
100-0,-0.3278,0.7164,0.4046,-0.4641,-0.002,0.410,0.940,83
100-0,-0.3272,0.7166,0.4043,-0.4645,-0.380,0.030,0.976,84
100-0,-0.3263,0.7171,0.4037,-0.4650,0.056,0.596,0.784,84
100-0,-0.3256,0.7173,0.4032,-0.4654,-0.044,0.669,0.754,84
100-0,-0.3246,0.7178,0.4026,-0.4659,-0.058,0.563,0.855,83
100-0,-0.3239,0.7181,0.4022,-0.4663,0.118,0.720,0.906,83
100-0,-0.3229,0.7185,0.4016,-0.4670,-0.403,0.285,0.989,84
100-0,-0.3222,0.7187,0.4012,-0.4673,-0.214,0.464,0.962,83
100-0,-0.3212,0.7191,0.4007,-0.4680,-0.289,0.607,0.906,84
100-0,-0.3206,0.7193,0.4003,-0.4684,-0.361,0.563,0.932,84
100-0,-0.3196,0.7196,0.3998,-0.4690,-0.310,0.639,0.966,84
100-0,-0.3186,0.7199,0.3993,-0.4697,-0.447,0.563,0.997,83
100-0,-0.3180,0.7201,0.3990,-0.4701,-0.377,0.699,0.993,83
100-0,-0.3170,0.7203,0.3984,-0.4708,-0.501,0.600,1.000,83
100-0,-0.3164,0.7205,0.3981,-0.4713,-0.507,0.647,1.000,84
100-0,-0.3154,0.7208,0.3975,-0.4720,-0.556,0.556,1.022,84
100-0,-0.3148,0.7210,0.3972,-0.4725,-0.564,0.561,1.019,83
100-0,-0.3139,0.7211,0.3967,-0.4732,-0.586,0.483,1.028,83
100-0,-0.3133,0.7212,0.3964,-0.4736,-0.572,0.470,1.026,84
100-0,-0.3125,0.7213,0.3962,-0.4743,-0.548,0.474,1.028,84
100-0,-0.3119,0.7213,0.3960,-0.4749,-0.490,0.115,1.194,84
100-0,-0.3115,0.7211,0.3960,-0.4753,-0.263,-1.058,1.458,84
100-0,-0.3108,0.7209,0.3963,-0.4758,-0.103,1.140,0.908,84
100-0,-0.3105,0.7207,0.3964,-0.4762,-0.189,0.701,1.015,84
100-0,-0.3099,0.7205,0.3967,-0.4767,-0.284,-0.227,1.317,84
100-0,-0.3095,0.7203,0.3969,-0.4772,-0.257,0.456,1.186,84
100-0,-0.3090,0.7200,0.3972,-0.4778,-0.128,-0.571,1.232,84
100-0,-0.3083,0.7197,0.3974,-0.4784,-0.005,0.318,1.007,84
100-0,-0.3079,0.7195,0.3975,-0.4789,0.017,-0.566,1.139,83
100-0,-0.3071,0.7193,0.3977,-0.4796,0.040,0.183,1.022,84
100-0,-0.3065,0.7192,0.3977,-0.4802,0.111,-0.351,1.104,84
100-0,-0.3055,0.7190,0.3976,-0.4810,0.273,-0.015,1.084,84
100-0,-0.3048,0.7190,0.3975,-0.4816,0.440,-0.106,1.133,83
100-0,-0.3037,0.7190,0.3972,-0.4826,0.910,-0.255,1.257,84
100-0,-0.3028,0.7190,0.3970,-0.4833,1.083,-0.212,1.308,84
100-0,-0.3014,0.7190,0.3966,-0.4844,1.426,-0.432,1.451,83
100-0,-0.2997,0.7192,0.3959,-0.4858,1.499,-0.292,1.533,84
100-0,-0.2985,0.7194,0.3953,-0.4867,1.359,-0.472,1.617,84
100-0,-0.2963,0.7199,0.3941,-0.4883,0.974,-0.397,1.614,84
